GlobalId,Type,Name,StoreyName,StoreyGlobalId
1U5MGFq6j3nfBZN6miFgFA,IfcBuildingElementProxy,Street Light - Sgl [559099],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
0I$nYIwgT4lAHP7iy5P5pW,IfcBuildingElementProxy,Street Light - Sgl [204444],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
1bCfopb4z7mBUnTWK380TW,IfcBuildingElementProxy,Street Light - Sgl [204400],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
02is$bVOX9DhnYTTS6$Rw$,IfcBuildingElementProxy,Street Light - Sgl [204810],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
1sdlTQFD53CAJGkT4PwW8D,IfcBuildingElementProxy,Street Light - Sgl [559098],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
39Eh5_EWXB4QZHNJaZGoqz,IfcBuildingElementProxy,Street Light - Sgl [204586],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
1N2wbb$F93HfR0r$ds8uW8,IfcBuildingElementProxy,Street Light - Sgl [559097],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
0GDLVand10nB2dXZz1hZv9,IfcBuildingElementProxy,Street Light - Sgl [204326],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
3ZEO2pfar6lPK36ansq6xo,IfcBuildingElementProxy,Street Light - Sgl [559096],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
1964re0mz7Mh3fcXO721KP,IfcBuildingElementProxy,Street Light - Sgl [204898],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
1v2qXYTIDC3wDiIM1K6BvD,IfcBuildingElementProxy,Street Light - Sgl [204732],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
3v1fBuKyjAVvwikWg13K2s,IfcBuildingElementProxy,Lamp Post - Sgl (2) [208308],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
3$xCgdhK9EDuocj$$8fVNW,IfcBuildingElementProxy,Lamp Post - Sgl (2) [209092],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
2nvom4_ZDEvOqkIEQKH4yO,IfcBuildingElementProxy,Lamp Post - Sgl (2) [208682],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
3xrQgVCDX1dPgLbpWeYy9V,IfcBuildingElementProxy,Lamp Post - Sgl (2) [209476],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
3$9rQcxb51peDK8v7T4sCZ,IfcBuildingElementProxy,Lamp Post - Sgl (2) [208958],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
2V0dKN8Nv70RLjxKNYuOhG,IfcBuildingElementProxy,Lamp Post - Sgl (2) [209168],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
0oh816Q$vDbBaIy939$Zwo,IfcBuildingElementProxy,Lamp Post - Sgl (2) [208800],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
3O0hjQKJD7B9Q4GyK6h7uK,IfcBuildingElementProxy,Lamp Post - Sgl (2) [208420],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
2sTzKuvUDFZPmtlIFneQ24,IfcBuildingElementProxy,Lamp Post - Sgl (2) [208616],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
1lcn66$Cr4ZuhUw_QQFCdX,IfcBuildingElementProxy,Lamp Post - Sgl (2) [209330],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
2CB1tjp3zBn9KikrgEKtoz,IfcBuildingElementProxy,Lamp Post - Sgl (2) [207730],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
24$zX69196ruhPLIEwzCIZ,IfcBuildingElementProxy,Lamp Post - Sgl (2) [209224],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
2JB1GNhK90xwBEloU56Frj,IfcBuildingElementProxy,Lamp Post - Sgl (2) [208536],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
01GYK$LDjFjBWGusykUYPL,IfcBuildingElementProxy,Lamp Post - Sgl (2) [208494],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
33WIVf0iTFlRoIlINKIqGa,IfcBuildingElementProxy,Lamp Post - Sgl (2) [208650],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
0dYRdORsf8F8nrRvNRj9rO,IfcBuildingElementProxy,Lamp Post - Sgl (2) [207794],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
2VUC7KAUzBYQgdQf7lBVJ$,IfcBuildingElementProxy,Lamp Post - Sgl (2) [207938],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
1adL9x8TT9wui4LWiJLlCy,IfcBuildingElementProxy,Lamp Post - Sgl (2) [208718],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
1HjiqW0KrEfxfFHsQ$1k_D,IfcBuildingElementProxy,Lamp Post - Sgl (2) [207664],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
2V2ujZtb5AL8GoIvRusso$,IfcBuildingElementProxy,Lamp Post - Sgl (2) [209506],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
1ckmsF8hDFhO4HmMmb67n7,IfcBuildingElementProxy,Floor [866391],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
1ezlvrllHBbvjNyuAO_WS_,IfcBuildingElementProxy,Floor [941462],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
0cf5TMZ_HCe95l9z3qWJjz,IfcBuildingElementProxy,Floor [595028],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
